Resume_ID,Name,Skills,Experience (Years),Education,Certifications,Job Role,Recruiter Decision,Salary Expectation ($),Projects Count,AI Score (0-100)
1,Ashley Ali,"TensorFlow, NLP, Pytorch",1.6405568812488873,B.Sc,None,0,0,1.0808947772624224,0.8876837017087462,0.7652863600104727
2,Wesley Roman,"Deep Learning, Machine Learning, Python, SQL",1.6405568812488873,MBA,Google ML,2,0,1.4328077522020748,-1.279664017845221,0.7652863600104727
3,Corey Sanchez,"Ethical Hacking, Cybersecurity, Linux",-1.2522746099815174,MBA,Deep Learning Specialization,1,0,-0.35718650394835094,0.5780625989153224,-0.6651554344016261
4,Elizabeth Carney,"Python, Pytorch, TensorFlow",0.6762797175054192,B.Tech,AWS Certified,0,0,-1.4388403228143007,-1.589285120638645,0.5268793942751229
5,Julie Hill,"SQL, React, Java",-0.2879974462380492,PhD,None,3,0,0.32324224678299845,1.1973048045021701,0.7652863600104727
6,Samantha Santos,"Cybersecurity, Networking, Linux, Ethical Hacking",1.6405568812488873,B.Tech,Google ML,1,0,-1.3907002600033875,-0.04117960667152538,0.7652863600104727
7,Tony Smith,"Networking, Cybersecurity, Ethical Hacking",-0.2879974462380492,M.Tech,AWS Certified,1,0,-0.598451128928564,1.1973048045021701,0.7652863600104727
8,Anthony Harrison,"TensorFlow, Pytorch, NLP",-0.6094231674858719,M.Tech,AWS Certified,0,0,0.9988960589127244,0.5780625989153224,0.2884724285397731
9,Nancy Jenkins,"Networking, Ethical Hacking",0.6762797175054192,MBA,Deep Learning Specialization,1,0,0.5328620513942702,-0.6604218122583732,0.7652863600104727
10,Courtney Gibson,"Python, TensorFlow, Pytorch, NLP",-1.57370033122934,M.Tech,AWS Certified,0,1,-0.8427977597334614,-1.279664017845221,-2.3340041945490744
11,Laura French,"SQL, Java, C++",-1.2522746099815174,PhD,Deep Learning Specialization,3,0,0.38852868002701435,0.5780625989153224,-0.6651554344016261
12,Ralph Barrera,"Cybersecurity, Ethical Hacking, Networking",-1.57370033122934,MBA,Google ML,1,1,-0.7503809935256756,-0.04117960667152538,-1.6187832973430252
13,David Diaz,"Cybersecurity, Networking",-1.57370033122934,M.Tech,Deep Learning Specialization,1,0,-1.6459424325265348,1.1973048045021701,-0.9035624001369759
14,Caitlin Myers,"SQL, C++, Java",-0.2879974462380492,B.Sc,Deep Learning Specialization,3,0,-1.2842191291871834,1.506925907295594,0.7652863600104727
15,Tammy Pineda,"Pytorch, NLP",-1.57370033122934,M.Tech,Deep Learning Specialization,0,1,0.7188676141938768,-0.04117960667152538,-1.857190263078375
16,Courtney Cook,"Cybersecurity, Networking",-1.2522746099815174,PhD,Google ML,1,1,-1.2417655841654762,0.2684414961218985,-1.1419693658723256
17,Megan Brown,"SQL, Python",1.6405568812488873,PhD,None,2,0,1.535338706538754,-0.9700429150517971,0.7652863600104727
18,Frances Davis MD,"Linux, Networking, Cybersecurity, Ethical Hacking",-0.6094231674858719,B.Tech,None,1,0,-0.5910282698296766,0.2684414961218985,-0.18834150293092647
19,Jonathon Pineda,"SQL, Python, Deep Learning",-0.6094231674858719,MBA,None,2,0,1.408368748268311,1.506925907295594,0.5268793942751229
20,Jennifer Collins,"Machine Learning, SQL, Python",1.6405568812488873,B.Tech,Deep Learning Specialization,2,0,-1.1645418044174014,1.1973048045021701,0.7652863600104727
21,Nichole Welch,"SQL, Java, C++, React",0.0334282750097736,B.Sc,None,3,0,-0.974455839540044,-0.3508007094649493,0.2884724285397731
22,Amber Davis,"Python, TensorFlow, Pytorch, NLP",0.35485399625759634,B.Sc,Google ML,0,0,1.144141009467563,1.506925907295594,0.7652863600104727
23,William Clark,"Machine Learning, Deep Learning, SQL",-0.2879974462380492,MBA,AWS Certified,2,0,1.174223122657791,0.8876837017087462,0.7652863600104727
24,Taylor Williams,"TensorFlow, Pytorch, NLP, Python",0.9977054387532418,MBA,Deep Learning Specialization,0,0,0.6246276896109256,-1.589285120638645,0.7652863600104727
25,Lori Johnson,"Pytorch, TensorFlow, NLP, Python",-1.57370033122934,B.Tech,Deep Learning Specialization,0,0,0.48051136090737984,1.506925907295594,-0.18834150293092647
26,Roy Huang,"Python, NLP",0.6762797175054192,B.Tech,Deep Learning Specialization,0,0,-0.5012594241191547,1.506925907295594,0.7652863600104727
27,Christopher Ayers,"Ethical Hacking, Cybersecurity",-0.6094231674858719,B.Sc,Deep Learning Specialization,1,1,-0.1645828441719556,-0.9700429150517971,-1.1419693658723256
28,Shaun Gomez,"Pytorch, NLP",-1.2522746099815174,M.Tech,None,0,1,-1.6609617848552778,-0.04117960667152538,-1.857190263078375
